epoch,Lc_loss,Lr_loss,Pm*_loss,Pm_avg,Pm_loss,Pm_pitch,Pm_roll,Pm_yaw,loss,lr,val_Lc_loss,val_Lr_loss,val_Pm*_loss,val_Pm_avg,val_Pm_loss,val_Pm_pitch,val_Pm_roll,val_Pm_yaw,val_loss
0,15.990671157836914,15.982013702392578,3.1267220973968506,0.014616301283240318,4.40576696395874,0.016175273805856705,0.0150386868044734,0.012634939514100552,1.7507542371749878,0.08,49.09169006347656,49.03278350830078,3.1882145404815674,0.06744702905416489,6.533015727996826,0.06695482134819031,0.0813947394490242,0.05399150773882866,5.103094577789307
1,10.9874267578125,10.972562789916992,1.914573311805725,0.010382596403360367,4.172428607940674,0.012082983739674091,0.013168598525226116,0.005896208342164755,1.221142292022705,0.08,20.372827529907227,20.321603775024414,2.209258794784546,0.017952842637896538,4.5792646408081055,0.01873253844678402,0.017845628783106804,0.017280355095863342,2.172102928161621
2,10.009486198425293,9.989729881286621,1.5951658487319946,0.009200813248753548,4.03640604019165,0.01010142546147108,0.012356621213257313,0.0051443912088871,1.113990306854248,0.08,20.39608383178711,20.357173919677734,2.043090343475342,0.015218323096632957,4.199806213378906,0.019222011789679527,0.01312025636434555,0.01331269834190607,2.16406512260437
3,9.524754524230957,9.499272346496582,1.5472251176834106,0.008602239191532135,3.98225998878479,0.009129871614277363,0.011893576942384243,0.004783269949257374,1.063217282295227,0.08,15.544171333312988,15.477303504943848,1.9880372285842896,0.01077444851398468,4.263258457183838,0.010366825386881828,0.010162492282688618,0.011794029735028744,1.6776509284973145
4,9.207262992858887,9.17543888092041,1.5235915184020996,0.008239485323429108,3.9801175594329834,0.008576599881052971,0.011614743620157242,0.004527112934738398,1.0306763648986816,0.08,14.403888702392578,14.33590316772461,1.9779185056686401,0.009834662079811096,4.116756916046143,0.013223610818386078,0.008265513926744461,0.00801486149430275,1.5604594945907593
5,9.000466346740723,8.962098121643066,1.5068377256393433,0.008060222491621971,3.9918909072875977,0.0083527946844697,0.011449581012129784,0.004378292243927717,1.0096046924591064,0.08,13.216373443603516,13.17907428741455,1.938463807106018,0.009085122495889664,4.108160972595215,0.00974982138723135,0.00914900004863739,0.008356545120477676,1.442257046699524
6,8.824588775634766,8.77920150756836,1.495795726776123,0.007931134663522243,4.0044426918029785,0.008152675814926624,0.011379177682101727,0.004261549562215805,0.9917289614677429,0.08,13.855390548706055,13.773837089538574,1.9413012266159058,0.008992789313197136,4.1355204582214355,0.010120504535734653,0.008105090819299221,0.00875276979058981,1.5045849084854126
7,8.689311981201172,8.637004852294922,1.478426218032837,0.007833543233573437,4.017239570617676,0.007991386577486992,0.011311094276607037,0.004198149312287569,0.9777910709381104,0.08,13.44906997680664,13.368672370910645,1.929110050201416,0.008333710953593254,4.065746307373047,0.010182819329202175,0.007908916100859642,0.006909396033734083,1.4623609781265259
8,8.570727348327637,8.51144027709961,1.4369536638259888,0.0078108846209943295,4.031984329223633,0.007957426831126213,0.011377031914889812,0.004098193254321814,0.9650735259056091,0.08,13.411730766296387,13.392688751220703,1.9146474599838257,0.007557073142379522,4.173686504364014,0.007850288413465023,0.00785316526889801,0.006967765279114246,1.4635863304138184
9,7.590109825134277,7.51893949508667,1.421994924545288,0.007269463501870632,3.957031726837158,0.007838462479412556,0.010402694344520569,0.0035672339145094156,0.8645766973495483,0.04,12.727458953857422,12.71252155303955,1.9122494459152222,0.0075107235461473465,3.8904941082000732,0.009461479261517525,0.007376010064035654,0.005694680847227573,1.3895232677459717
10,7.557137489318848,7.4817728996276855,1.4200828075408936,0.00696065928786993,3.8751940727233887,0.007784860674291849,0.009613031521439552,0.003484084503725171,0.8593236804008484,0.04,12.450931549072266,12.417768478393555,1.91376793384552,0.007182558998465538,3.8348770141601562,0.009208760224282742,0.007292796391993761,0.0050461203791201115,1.3598333597183228
11,7.508577346801758,7.429452896118164,1.4189527034759521,0.00680496683344245,3.838878870010376,0.007753071375191212,0.009249158203601837,0.0034126697573810816,0.8534887433052063,0.04,12.559784889221191,12.446378707885742,1.9009921550750732,0.007127932272851467,3.7965095043182373,0.00864026416093111,0.007222238462418318,0.005521292332559824,1.365631341934204
12,7.482745170593262,7.39970588684082,1.4180834293365479,0.006736136041581631,3.8242650032043457,0.00774768553674221,0.009099830873310566,0.0033608905505388975,0.8503701090812683,0.04,12.29396915435791,12.266016006469727,1.902233600616455,0.006921263411641121,3.7645857334136963,0.008235234767198563,0.0073051173239946365,0.005223438609391451,1.3426799774169922
13,7.454218864440918,7.367468357086182,1.4173721075057983,0.006663336418569088,3.8131320476531982,0.007701063994318247,0.008964023552834988,0.003324919380247593,0.847072184085846,0.04,12.964128494262695,12.950363159179688,1.9144970178604126,0.007465969771146774,3.7390244007110596,0.009495383128523827,0.007562114857137203,0.005340412724763155,1.4101144075393677
14,7.424611568450928,7.334639549255371,1.416747808456421,0.006536788307130337,3.8090081214904785,0.007581405341625214,0.008738714270293713,0.003290243213996291,0.8438387513160706,0.04,12.47154426574707,12.442232131958008,1.910598874092102,0.007037458475679159,3.7482821941375732,0.009071652777493,0.0073991138488054276,0.004641608335077763,1.360182285308838
15,7.389990329742432,7.295751094818115,1.4161572456359863,0.006536421831697226,3.808377504348755,0.007628616876900196,0.008727271109819412,0.0032533768098801374,0.8401278853416443,0.04,12.966717720031738,12.85367202758789,1.9147872924804688,0.007154420949518681,3.7702794075012207,0.008617342449724674,0.007483180146664381,0.005362739320844412,1.406018853187561
