epoch,Lc_loss,Lr_loss,Pm*_loss,Pm_avg,Pm_loss,Pm_pitch,Pm_roll,Pm_yaw,loss,lr,val_Lc_loss,val_Lr_loss,val_Pm*_loss,val_Pm_avg,val_Pm_loss,val_Pm_pitch,val_Pm_roll,val_Pm_yaw,val_loss
0,11.504426956176758,11.49356460571289,1.2645196914672852,0.010061549954116344,1.1474394798278809,0.009620188735425472,0.007904368452727795,0.012660092674195766,1.1984000205993652,0.08,57.226295471191406,57.18873977661133,3.7477505207061768,0.016383981332182884,3.978625535964966,0.014863826334476471,0.015333516523241997,0.018954595550894737,5.875602722167969
1,9.319024085998535,9.293418884277344,1.2118611335754395,0.005856828298419714,1.0709073543548584,0.006245267577469349,0.00419490085914731,0.00713031692430377,0.9765164256095886,0.08,55.4422607421875,55.39206314086914,3.7143287658691406,0.01277700625360012,3.9127001762390137,0.012478948570787907,0.012245452031493187,0.013606616295874119,5.6945576667785645
2,9.120361328125,9.076818466186523,1.203500509262085,0.005332374479621649,1.0678961277008057,0.005763942375779152,0.003707290394231677,0.006525889970362186,0.9555745124816895,0.08,55.17372131347656,55.02961730957031,3.7232930660247803,0.01203988492488861,3.891601324081421,0.010975966230034828,0.012062120251357555,0.0130815664306283,5.662798881530762
3,9.001171112060547,8.933119773864746,1.1990848779678345,0.005094490945339203,1.0675840377807617,0.005541220773011446,0.0034901436883956194,0.006252107210457325,0.9423559904098511,0.08,54.09703063964844,53.85292053222656,3.7069928646087646,0.011710455641150475,3.857114553451538,0.010848814621567726,0.011801036074757576,0.012481511570513248,5.549134254455566
4,8.861328125,8.759614944458008,1.1968398094177246,0.004958460573107004,1.0655544996261597,0.005388779100030661,0.0033781605307012796,0.006108441855758429,0.9266130328178406,0.08,53.36001205444336,53.328369140625,3.6996045112609863,0.012491489760577679,3.869584798812866,0.011750325560569763,0.01251400075852871,0.013210142962634563,5.486134052276611
5,8.755258560180664,8.618427276611328,1.1947073936462402,0.004848945420235395,1.0629191398620605,0.0052872030064463615,0.003282331395894289,0.005977300927042961,0.9141578078269958,0.08,54.09529113769531,54.102413177490234,3.7422022819519043,0.011610097251832485,3.9131650924682617,0.01084019336849451,0.012503058649599552,0.011487038806080818,5.563317775726318
6,8.674673080444336,8.503223419189453,1.192870020866394,0.0047430433332920074,1.0606809854507446,0.005175603553652763,0.003192160977050662,0.005861364305019379,0.9042900800704956,0.08,53.10589599609375,52.70823287963867,3.7330517768859863,0.011606994085013866,3.8660552501678467,0.010603861883282661,0.012746104970574379,0.01147101353853941,5.443028450012207
7,8.600737571716309,8.396438598632812,1.1912261247634888,0.004687102511525154,1.058605670928955,0.005114181898534298,0.0031403719913214445,0.005806752480566502,0.8951849341392517,0.08,53.971378326416016,53.539066314697266,3.719419002532959,0.0114979837089777,3.857295513153076,0.010602479800581932,0.012579553760588169,0.011311914771795273,5.527407646179199
8,8.541719436645508,8.307879447937012,1.1899622678756714,0.004625543486326933,1.0571757555007935,0.005040932446718216,0.0030931069049984217,0.005742591340094805,0.8877552151679993,0.08,53.38568115234375,52.92796325683594,3.7274293899536133,0.010722189210355282,3.860368251800537,0.010320928879082203,0.012848268263041973,0.00899737048894167,5.467780590057373
9,8.490440368652344,8.228110313415527,1.1887377500534058,0.004597914405167103,1.0559704303741455,0.005014117807149887,0.0030609930399805307,0.005718632135540247,0.8811575174331665,0.08,53.202754974365234,52.831016540527344,3.726428270339966,0.011091288179159164,3.875454902648926,0.010156975127756596,0.01312708854675293,0.009989799931645393,5.454070091247559
10,6.775884628295898,6.545131683349609,1.1862691640853882,0.003929676488041878,1.0107195377349854,0.004545129835605621,0.0027069158386439085,0.0045369830913841724,0.7102422118186951,0.04,51.10436248779297,51.09889221191406,3.7412216663360596,0.011089801788330078,3.8574023246765137,0.011035608127713203,0.012904977425932884,0.009328821673989296,5.26237154006958
11,6.757091045379639,6.507891654968262,1.1855171918869019,0.003870743792504072,0.9988888502120972,0.004479146096855402,0.0026382540818303823,0.004494830965995789,0.7071718573570251,0.04,51.541202545166016,51.393272399902344,3.729259729385376,0.010735034942626953,3.866624355316162,0.010569737292826176,0.01325169950723648,0.008383668027818203,5.298882961273193
12,6.7251715660095215,6.465226650238037,1.1848139762878418,0.0038534370250999928,0.9971604943275452,0.004473137203603983,0.002619694219902158,0.004467479418963194,0.7033981680870056,0.04,50.9108772277832,50.87130355834961,3.743480682373047,0.010997772216796875,3.8428595066070557,0.011090073734521866,0.013297614641487598,0.00860563013702631,5.2410783767700195
13,6.698796272277832,6.428685188293457,1.1842820644378662,0.003834095550701022,0.996289849281311,0.004438864998519421,0.0026005099061876535,0.00446291221305728,0.7002242207527161,0.04,51.74474334716797,51.58296203613281,3.742339611053467,0.010834346525371075,3.873363971710205,0.010497918352484703,0.013135443441569805,0.008869676850736141,5.31893253326416
14,6.680346965789795,6.401906490325928,1.1838116645812988,0.0038148025050759315,0.9954270124435425,0.0044153532944619656,0.0025878800079226494,0.004441174678504467,0.697943389415741,0.04,51.19801712036133,50.966861724853516,3.7423675060272217,0.01087171770632267,3.849581480026245,0.010887171141803265,0.013207281939685345,0.008520696312189102,5.260335922241211
15,6.647650718688965,6.361058712005615,1.1833176612854004,0.0037972349673509598,0.994303822517395,0.0043983072973787785,0.0025643699336797,0.004429027903825045,0.69423508644104,0.04,51.88963317871094,51.90925979614258,3.761477470397949,0.011023740284144878,3.859776258468628,0.011180615052580833,0.013275053352117538,0.008615552447736263,5.342625617980957
